BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
160560;2399;19;{;;cavalry;k { v V l R i:;;;;;;;
162960;1199;19;v;;cavalry;k { v V l R i:;;;;;;;
164160;959;19;V;;cavalry;k { v V l R i:;;;;;;;
165120;719;19;l;;cavalry;k { v V l R i:;;;;;;;
165840;1919;19;R;;cavalry;k { v V l R i:;;;;;;;
167760;3359;19;i:;;cavalry;k { v V l R i:;;;;;;;
171120;5759;-1;<p:>;;;;;;;;;;
176880;2639;20;s;;see;s i:;;;;;;;
179520;3599;20;i:;;see;s i:;;;;;;;
183120;2399;21;O:;;Order;O: R d 3`;;;;;;;
185520;959;21;R;;Order;O: R d 3`;;;;;;;
186480;719;21;d;;Order;O: R d 3`;;;;;;;
187200;2399;21;3`;;Order;O: R d 3`;;;;;;;
189600;959;22;V;;of;V v;;;;;;;
190560;719;22;v;;of;V v;;;;;;;
191280;1679;23;b;;Battle;b { t V l;;;;;;;
192960;3119;23;{;;Battle;b { t V l;;;;;;;
196080;959;23;4;;Battle;b { t V l;;;;;;;
197040;1199;23;V;;Battle;b { t V l;;;;;;;
198240;959;23;l;;Battle;b { t V l;;;;;;;
199200;1439;24;b;;below;b I l @U;;;;;;;
200640;719;24;I;;below;b I l @U;;;;;;;
201360;2639;24;l;;below;b I l @U;;;;;;;
204000;5999;24;@U;;below;b I l @U;;;;;;;
210000;21551;-1;<p:>;;;;;;;;;;
